record_id,timestamp,device_id,data_type,data_value,numeric_value,location,closest_city,status,origin,destination
1,2025-04-29 12:08:30.336512,PKG85046,temperature,26.0,26.0,"33.3012, 13.5857",Cairo,In Transit,São Paulo,Moscow
4,2025-04-29 13:17:30.336512,PKG59811,temperature,11.7,11.7,"36.7251, 136.1661",Tokyo,In Transit,Tokyo,Seoul
7,2025-04-29 14:36:30.336512,PKG80313,temperature,34.1,34.1,"24.1418, 107.766",Bangkok,In Transit,Cape Town,Seoul
10,2025-04-29 15:23:30.336512,PKG90642,temperature,21.8,21.8,"3.6758, 36.9013",Cairo,In Transit,Tokyo,São Paulo
13,2025-04-29 16:06:30.336512,PKG86797,temperature,13.9,13.9,"52.3556, 18.2952",Berlin,In Transit,Moscow,Berlin
16,2025-04-29 22:21:30.336512,PKG40354,temperature,29.5,29.5,"3.1486, 101.0205",Singapore,Delivered,London,Singapore
19,2025-04-30 03:12:30.336512,PKG15600,temperature,13.0,13.0,"40.8456, -76.0098",New York,In Transit,New York,Toronto
22,2025-04-30 04:16:30.336512,PKG98223,temperature,19.8,19.8,"-20.3309, -50.6235",São Paulo,Delivered,Los Angeles,São Paulo
25,2025-04-30 04:39:30.336512,PKG68596,temperature,13.0,13.0,"47.7554, 10.6766",Berlin,In Transit,Moscow,Mexico City
28,2025-04-30 06:25:30.336512,PKG47157,temperature,2.3,2.3,"24.8098, -8.6001",Paris,In Transit,Berlin,São Paulo
31,2025-04-30 09:02:30.336512,PKG56828,temperature,29.6,29.6,"32.7614, 67.4043",Dubai,In Transit,Tokyo,Cairo
34,2025-04-30 09:11:30.336512,PKG83969,temperature,20.2,20.2,"-14.4913, 10.838",Cape Town,In Transit,São Paulo,Singapore
37,2025-04-30 10:38:30.336512,PKG52880,temperature,20.4,20.4,"-27.9624, 33.7697",Cape Town,In Transit,Singapore,Cape Town
40,2025-04-30 10:59:30.336512,PKG89273,temperature,11.4,11.4,"-23.7877, 17.4187",Cape Town,In Transit,Paris,Cape Town
43,2025-04-30 15:09:30.336512,PKG14324,temperature,22.9,22.9,"41.4671, -84.5964",Chicago,Delivered,Cairo,Chicago
46,2025-04-30 17:04:30.336512,PKG36641,temperature,16.9,16.9,"19.1864, 25.1461",Cairo,Delayed,New York,Singapore
49,2025-04-30 21:25:30.336512,PKG43719,temperature,29.7,29.7,"17.473, 107.9593",Bangkok,In Transit,Paris,Manila
52,2025-04-30 22:13:30.336512,PKG16801,temperature,22.6,22.6,"20.8077, -98.0358",Mexico City,Delivered,Chicago,Mexico City
55,2025-04-30 22:16:30.336512,PKG93441,temperature,26.8,26.8,"24.0181, 68.1987",Mumbai,In Transit,Cairo,Manila
58,2025-04-30 22:31:30.336512,PKG80316,temperature,32.7,32.7,"32.5732, 30.3712",Cairo,In Transit,Paris,Sydney
61,2025-04-30 23:22:30.336512,PKG24388,temperature,11.1,11.1,"45.6035, -41.4799",New York,In Transit,London,Los Angeles
64,2025-05-01 03:36:30.336512,PKG68243,temperature,7.1,7.1,"50.5945, 34.014",Moscow,In Transit,Berlin,Seoul
67,2025-05-01 04:15:30.336512,PKG52318,temperature,0.8,0.8,"7.8415, -10.4925",Paris,In Transit,Los Angeles,Sydney
70,2025-05-01 07:34:30.336512,PKG14158,temperature,10.6,10.6,"-8.7533, 10.3176",Cape Town,In Transit,São Paulo,Bangkok
